num_dep,nb_stud_total,POP_2024,POP_2040,nb_stud_total_2040,nb_student_change_pct,pop_change_pct,Student_Pop_Ratio,coefficient
06,100445.0,1093000,1098000,107779,0.07301508288117875,0.004574565416285453,15.961097117825673,1.0
91,153663.0,1316000,1337000,173325,0.1279553308213428,0.015957446808510637,8.01853406480415,0.82
95,155804.0,1273000,1320000,180270,0.15703062822520603,0.036920659858601726,4.2531912708656865,0.74
13,202558.0,2059000,2102000,219405,0.0831712398424155,0.020883924235065566,3.9825484380356633,0.73
93,193379.0,1668000,1720000,213858,0.10590084755842155,0.03117505995203837,3.396973340912445,0.72
84,55156.0,567000,576000,57096,0.03517296395677714,0.015873015873015872,2.21589672927696,0.69
78,157605.0,1465000,1478000,160691,0.019580597062275943,0.008873720136518772,2.2065826689410963,0.69
74,86133.0,852000,906000,97643,0.13363054810583633,0.06338028169014084,2.1083930923365286,0.69
69,189531.0,1919000,2054000,213664,0.1273300937577494,0.07034914017717561,1.8099737031194154,0.68
94,141358.0,1427000,1473000,148441,0.050106820979357376,0.0322354590049054,1.5544007290770212,0.68
31,131017.0,1464000,1644000,155420,0.18625827182732013,0.12295081967213115,1.5149006108622038,0.68
77,162077.0,1450000,1503000,170062,0.04926670656539793,0.036551724137931035,1.3478627267891887,0.67
66,41759.0,489000,510000,43554,0.04298474580329989,0.04294478527607362,1.0009305094196974,0.67
34,107409.0,1231000,1378000,120175,0.11885409974955544,0.11941510966693746,0.9953020189911751,0.67
33,145721.0,1701000,1910000,162823,0.11736125884395524,0.12286890064667842,0.9551746473376452,0.67
01,68238.0,678000,730000,72781,0.06657580820070928,0.07669616519174041,0.8680461146169403,0.66
83,93707.0,1098000,1142000,96052,0.02502481138015303,0.04007285974499089,0.6244827930774552,0.66
44,140961.0,1497000,1683000,149511,0.0606550748079256,0.12424849699398798,0.4881755214379818,0.65
2A,11608.0,162000,166000,11736,0.011026878015161957,0.024691358024691357,0.4465885596140593,0.65
35,105510.0,1122000,1233000,107451,0.018396360534546487,0.09893048128342247,0.18595240107892935,0.65
2B,12657.0,188000,201000,12791,0.010587026941613337,0.06914893617021277,0.15310469730948517,0.65
63,54830.0,677000,710000,54882,0.0009483859201167244,0.04874446085672083,0.01945628084603098,0.64
04,13649.0,165000,165000,12473,-0.0861601582533519,0.0,0.0,0.64
48,5766.0,77000,77000,4055,-0.29673950745750954,0.0,0.0,0.64
43,19021.0,228000,228000,14370,-0.24451921560380632,0.0,0.0,0.64
21,43828.0,535000,533000,38837,-0.1138769736241672,-0.003738317757009346,-0.03282768796918566,0.64
60,83004.0,831000,829000,77588,-0.06524986747626621,-0.0024067388688327317,-0.03688496179257608,0.64
14,58318.0,695000,689000,47198,-0.19067869268493431,-0.008633093525179856,-0.04527560685264738,0.64
53,26993.0,305000,301000,19584,-0.27447856851776387,-0.013114754098360656,-0.04778061241423258,0.64
65,16917.0,227000,225000,13851,-0.18123780812200746,-0.00881057268722467,-0.04861332620671224,0.64
59,258380.0,2601000,2582000,228781,-0.11455608019196532,-0.007304882737408689,-0.06376687055953434,0.64
19,17178.0,239000,235000,13644,-0.20572825707300035,-0.016736401673640166,-0.08135198300786382,0.64
15,9506.0,143000,139000,6581,-0.3077003997475279,-0.027972027972027972,-0.09090670013746936,0.64
75,139108.0,2099000,2039000,103238,-0.25785720447422145,-0.028585040495474036,-0.11085608623485928,0.64
80,48208.0,565000,551000,37797,-0.21596000663790244,-0.024778761061946902,-0.11473773059978255,0.64
39,20928.0,257000,249000,15267,-0.2704988532110092,-0.0311284046692607,-0.11507776946092349,0.64
10,26983.0,311000,307000,24128,-0.1058073601897491,-0.012861736334405145,-0.1215580495661135,0.64
24,28874.0,409000,398000,22883,-0.20748770520191176,-0.02689486552567237,-0.12962149009986046,0.64
72,50801.0,561000,546000,42153,-0.1702328694317041,-0.026737967914438502,-0.15706701064077133,0.64
36,15606.0,214000,201000,10310,-0.33935665769575807,-0.06074766355140187,-0.17900831521585678,0.64
05,11205.0,140000,137000,9881,-0.11816153502900491,-0.02142857142857143,-0.18134980578334053,0.64
25,49319.0,545000,538000,46140,-0.06445791682718628,-0.012844036697247707,-0.19926236107944625,0.64
16,27051.0,347000,337000,23187,-0.14284129976710658,-0.02881844380403458,-0.2017514811964129,0.64
50,40350.0,488000,467000,31804,-0.21179677819083023,-0.0430327868852459,-0.20317961043993354,0.64
41,26778.0,323000,309000,21081,-0.2127492717902756,-0.043343653250773995,-0.2037311474020056,0.64
62,138170.0,1445000,1387000,111786,-0.19095317362669176,-0.04013840830449827,-0.21020026817133586,0.64
03,25036.0,330000,317000,20369,-0.18641156734302605,-0.03939393939393939,-0.21132776230269265,0.64
61,21433.0,271000,250000,14232,-0.3359772313721831,-0.07749077490774908,-0.23064293550864962,0.64
89,27566.0,330000,313000,21505,-0.21987230646448525,-0.051515151515151514,-0.2342957707748996,0.64
58,14101.0,197000,180000,9185,-0.34862775689667397,-0.08629441624365482,-0.24752594862729388,0.64
54,60312.0,729000,707000,53308,-0.1161294601406022,-0.03017832647462277,-0.25986796492539244,0.64
70,18901.0,229000,209000,12573,-0.33479710068250357,-0.08733624454148471,-0.2608632045004113,0.64
88,27862.0,352000,317000,17839,-0.3597372765774173,-0.09943181818181818,-0.2764012090373958,0.64
02,47620.0,521000,491000,37875,-0.20464090718185637,-0.05758157389635317,-0.28137860943502696,0.64
71,44276.0,543000,520000,37665,-0.14931339777757702,-0.0423572744014733,-0.28368033299041473,0.64
23,7379.0,113000,104000,5330,-0.2776799024258029,-0.07964601769911504,-0.2868267274776818,0.64
55,14325.0,177000,159000,9251,-0.35420593368237346,-0.1016949152542373,-0.28710675226979687,0.64
76,116828.0,1250000,1226000,109461,-0.06305851337008252,-0.0192,-0.3044791095425546,0.64
08,22261.0,261000,233000,14584,-0.34486321369210726,-0.10727969348659004,-0.3110789705229883,0.64
51,49999.0,562000,544000,44955,-0.1008820176403528,-0.03202846975088968,-0.3174844288411446,0.64
52,13074.0,166000,148000,8680,-0.3360868900107083,-0.10843373493975904,-0.3226360151575807,0.64
28,41335.0,426000,407000,35913,-0.1311721301560421,-0.04460093896713615,-0.3400184087433738,0.64
18,23630.0,295000,276000,19210,-0.18705035971223022,-0.06440677966101695,-0.3443285528031291,0.64
87,28396.0,367000,352000,25738,-0.09360473306099451,-0.04087193460490463,-0.43664388827722794,0.63
47,26849.0,327000,316000,24975,-0.06979775783083168,-0.03363914373088685,-0.48195163822336234,0.63
90,12051.0,135000,119000,9822,-0.18496390341050536,-0.11851851851851852,-0.6407656647225961,0.63
27,56921.0,585000,545000,51146,-0.10145640449043411,-0.06837606837606838,-0.673945313945314,0.63
68,67781.0,764000,743000,65067,-0.04004071937563624,-0.0274869109947644,-0.6864739550980566,0.63
57,90062.0,1031000,983000,85252,-0.05340765250605139,-0.04655674102812803,-0.8717241601819682,0.62
67,100104.0,1156000,1197000,99666,-0.004375449532486214,0.03546712802768166,-1.1233663331598551,0.62
45,66353.0,691000,706000,66136,-0.0032703871716425782,0.02170767004341534,-1.1506558357070014,0.62
38,121976.0,1293000,1354000,119679,-0.018831573424280185,0.04717710750193349,-1.3991676137310538,0.61
26,47640.0,532000,559000,46537,-0.02315281276238455,0.05075187969924812,-1.456196162577355,0.61
40,33362.0,424000,447000,32240,-0.03363107727354475,0.054245283018867926,-1.6199815984340424,0.61
64,55034.0,699000,734000,53289,-0.031707671621179635,0.05007153075822604,-1.6332474989487016,0.61
82,23711.0,265000,277000,22508,-0.05073594534182447,0.045283018867924525,-2.1204187929652902,0.6
37,53611.0,619000,639000,51656,-0.036466396821547814,0.03231017770597738,-2.128634981626905,0.6
30,68136.0,754000,769000,66246,-0.027738640366326173,0.01989389920424403,-2.3943289890806625,0.59
92,151226.0,1638000,1674000,146146,-0.03359210717733723,0.02197802197802198,-2.5284408765688435,0.59
17,48811.0,669000,709000,43941,-0.09977259224355166,0.059790732436472344,-2.6686966052734014,0.58
42,72153.0,771000,784000,69928,-0.03083724862445082,0.016861219195849545,-2.8288860530347373,0.58
85,58656.0,705000,750000,51644,-0.11954446262956901,0.06382978723404255,-2.872863247863248,0.58
81,31303.0,395000,413000,28495,-0.08970386224962464,0.04556962025316456,-2.9685014215889853,0.58
11,30248.0,379000,391000,27602,-0.08747685797408093,0.0316622691292876,-3.762810764348056,0.56
56,66096.0,778000,818000,56674,-0.14255022996853062,0.05141388174807198,-3.7726019728879208,0.56
73,38031.0,440000,449000,35714,-0.060923983066445794,0.020454545454545454,-3.978505838804017,0.56
86,35221.0,445000,461000,31252,-0.11268845291161524,0.035955056179775284,-4.134147596604298,0.55
49,77525.0,827000,855000,68286,-0.11917445985166075,0.03385731559854897,-4.51990279633298,0.54
07,27414.0,330000,338000,23212,-0.15327934631939885,0.024242424242424242,-7.322773035675202,0.48
32,13876.0,192000,195000,11507,-0.17072643413087346,0.015625,-11.926491784375902,0.38
29,75004.0,920000,936000,59102,-0.2120153591808437,0.017391304347826087,-13.190883152898513,0.35
09,11476.0,153000,155000,9279,-0.1914430115022656,0.013071895424836602,-15.645390379923317,0.29
79,30124.0,377000,382000,24090,-0.2003054043287744,0.013262599469496022,-16.10302748638959,0.28
12,20905.0,280000,283000,16481,-0.2116240133939249,0.010714285714285714,-20.75157458343299,0.18
46,11679.0,175000,177000,8374,-0.28298655706824216,0.011428571428571429,-25.76132374347119,0.07
22,49504.0,602000,607000,38052,-0.2313348416289593,0.008305647840531562,-28.852714932126695,0.0
